h_id,age,gender,race,ethnicity,employment_status,hours_worked_per_week,earnings_per_week
1_1_1,32,Female,BlackOnly,Non-Hispanic,Working,40.0,1250.0
1_34_34,60,Female,WhiteOnly,Non-Hispanic,Working,40.0,538.46
1_46_46,28,Male,WhiteOnly,Dominican,Working,40.0,380.0
1_554_554,29,Male,WhiteOnly,Non-Hispanic,Working,40.0,890.0
1_666_666,46,Female,WhiteOnly,Non-Hispanic,Working,10.0,0.0
2_1314_1314,17,Male,WhiteOnly,Non-Hispanic,Working,35.0,290.5
6_6898_6898,67,Male,WhiteOnly,Dominican,Working,40.0,500.0
6_7346_7346,54,Female,BlackOnly,Non-Hispanic,Working,40.0,2173.07
8_9768_9768,36,Male,WhiteOnly,Non-Hispanic,Working,50.0,2884.0
9_11763_11763,49,Male,WhiteOnly,Non-Hispanic,Working,50.0,500.0
18_23481_23481,47,Female,WhiteOnly,Non-Hispanic,Working,40.0,512.0
19_24212_24212,38,Male,AsianOnly,Non-Hispanic,Working,38.0,550.0
20_25196_25196,42,Male,White-AI,Mexican,Working,40.0,484.4
20_25289_25289,55,Female,AI-HP,Non-Hispanic,Working,39.0,327.6
20_25582_25582,21,Male,AmericanIndian/AlaskanNativeOnly,Salvadoran,Working,25.0,146.25
20_25624_25624,37,Female,AsianOnly,Non-Hispanic,Working,40.0,711.53
21_26276_26276,60,Male,AsianOnly,Non-Hispanic,Working,50.0,1442.3
13_137361_18675,38,Male,WhiteOnly,Mexican,Layoff,,
24_178642_30613,20,Female,BlackOnly,Non-Hispanic,Layoff,,
2_1088_1088,56,Male,BlackOnly,Non-Hispanic,Looking,,
