h_id,age,gender_code,race_code,ethnicity_code,employment_status_code,hours_worked_per_week,earnings_per_week
4_3781_3781,55,2,1,,1,40,1192.3
5_4412_4412,50,2,1,1,1,40,480
6_5532_5532,21,1,9,,1,40,307.69
6_5567_5567,46,1,1,,1,40,2115.38
6_5630_5630,41,1,4,,1,40,1057
6_5962_5962,52,2,1,1,1,40,1346.15
6_6837_6837,32,1,2,,1,40,1615.38
6_9460_9460,39,2,4,,1,40,1923.07
6_10034_10034,85,2,1,,1,70,1750
6_10862_10862,22,1,1,1,1,40,320
6_11231_11231,28,1,1,,1,40,115.38
6_11604_11604,68,1,4,,1,40,1458
6_12640_12640,18,2,5,,1,20,180
8_13698_13698,63,1,1,,1,40,835
9_15444_15444,73,1,1,,1,24,346.15
9_16658_16658,52,1,1,2,1,40,1000
10_17469_17469,48,2,1,,1,38,1200
4_3828_3828,68,2,1,1,3,,
6_129443_11888,17,2,4,,3,,
1_1014_1014,54,1,1,,4,,
